district,street,house_count,calibrated_score,calibrated_score_life_circle,life_circle_score,life_circle_5min_score,life_circle_10min_score,life_circle_15min_score
崇明,东平镇,139,0.13187465869737658,0.11253837182913347,0.23364792222023398,0.26290232378356776,0.21202351056089774,0.21711505604197073
崇明,向化镇,2,0.12899932540741268,0.08522971235430697,0.3772861091036158,0.5023928821959094,0.3350905472708615,0.2361890587218021
崇明,城桥镇,150,0.11365872546997183,0.09645891998610669,0.20601789827737443,0.24936578135562718,0.1660996904114599,0.19254677636445047
崇明,堡镇,41,0.18372358483524126,0.1893276212810449,0.4010181628872064,0.5565824459150167,0.30027163947929886,0.2931604428137801
崇明,庙镇,2,0.053890799299511384,0.023118131345084184,0.004186817481053706,0.0,0.0,0.016747269924214825
崇明,新河镇,16,0.17332203386606312,0.16373551549622867,0.33755928120891027,0.3631865735339614,0.3353614002544794,0.2996326468250318
崇明,新海镇,130,0.10832066252632894,0.09393603867527686,0.2068080333838722,0.25635881699734814,0.17064188165879976,0.17815939201741202
崇明,港西镇,11,0.12755402470744104,0.09504260174256939,0.17519520431914862,0.227906173099836,0.11856696426698933,0.1701371903430719
崇明,竖新镇,6,0.2525794527888034,0.16078214233590646,0.2729292402225307,0.39828436854430116,0.2010442803289231,0.1729999787587487
崇明,长兴镇,210,0.13359554519405709,0.12217162416176047,0.2654331247648719,0.3184545013109818,0.2398207114936188,0.21645630087085033
崇明,陈家镇,458,0.11390324596436713,0.0741844084201463,0.11681077143138142,0.12804853154255838,0.11120940388236339,0.10667226982212355
徐汇,凌云路街道,648,0.09652079812881238,0.15879620896206864,0.45240600923943763,0.5707004492703872,0.3689107348683317,0.3800282893094666
徐汇,华泾镇,516,0.09020237643330425,0.156330017947814,0.4552532425965037,0.6234986458905382,0.35980276279975615,0.3196912690414952
徐汇,天平路街道,286,0.149205400751542,0.19454727773178085,0.4755428325907602,0.5227501767345458,0.4528999206933597,0.4317111586170637
徐汇,康健新村街道,969,0.08043165435353634,0.13209451278945902,0.39365836505166946,0.4404318023071916,0.3632364945595068,0.3614114841318617
徐汇,徐家汇街道,1555,0.10619258457750051,0.13680070965399563,0.3661377026736458,0.2742374490134193,0.4375903959162746,0.4131443379903281
徐汇,斜土路街道,811,0.09318551897166141,0.13578569862958365,0.38526586722807604,0.3487643124072051,0.43802021087430915,0.36981227383674303
徐汇,枫林路街道,898,0.1139116659886285,0.17199024297047394,0.46570570739036765,0.5273272787523908,0.4381565672282494,0.405679989438096
徐汇,湖南路街道,131,0.15129450332060973,0.19845490519978537,0.4836991545948286,0.5115864340743308,0.47027025114556587,0.4578799722565927
徐汇,漕河泾街道,878,0.07470168803123724,0.11504391455694059,0.34580056289470096,0.3469432617218542,0.3532657977033384,0.33352091603916356
徐汇,田林街道,1032,0.07423173951475777,0.11541044032808766,0.3489830016281613,0.352779998333837,0.3351413362932695,0.36228613836792894
徐汇,虹梅路街道,234,0.08833946781432025,0.15318006631193265,0.4496000983258962,0.5957699722261987,0.3707303624320618,0.32614593033678035
徐汇,长桥街道,758,0.07836797989636297,0.14492809864065573,0.43950570750518136,0.5757718095001275,0.36103040275864284,0.3313453709584218
徐汇,龙华街道,512,0.06860123939024997,0.10657800294458396,0.3261673429996058,0.3120906514940045,0.3453181853146242,0.3218788701675422
普陀,万里街道,634,0.05851439683496333,0.08346212871457026,0.25959033096101874,0.2576065530189572,0.23777319770709207,0.29330836222381446
普陀,宜川路街道,559,0.08481507892111331,0.1650998263652451,0.49343737238281177,0.6442366326443544,0.4085208924398303,0.3710416278845177
普陀,曹杨新村街道,500,0.09703884343681929,0.18648099666736204,0.537380028963065,0.6836776745338803,0.4511264359945905,0.42405882620562485
